Timestamp,IP_Source,IP_Destination,Bytes_Sent,Bytes_Received,Request_Type,Status_Code
2024-01-01 00:00:00,10.0.0.1,1.1.1.1,913,1852,POST,404
2024-01-01 00:01:00,172.16.0.1,8.8.4.4,2840,8205,DELETE,500
2024-01-01 00:02:00,192.168.1.1,8.8.4.4,7458,8170,POST,403
2024-01-01 00:03:00,10.0.0.1,9.9.9.9,8805,6666,DELETE,403
2024-01-01 00:04:00,10.0.0.1,8.8.4.4,5166,5584,PUT,503
2024-01-01 00:05:00,172.16.0.1,8.8.4.4,6069,4111,POST,403
2024-01-01 00:06:00,192.168.1.1,8.8.4.4,1807,312,PUT,503
2024-01-01 00:07:00,192.168.1.1,9.9.9.9,7624,6337,POST,200
2024-01-01 00:08:00,10.0.0.1,8.8.4.4,6424,8865,PUT,500
2024-01-01 00:09:00,192.168.1.2,1.1.1.1,6942,9258,PUT,503
2024-01-01 00:10:00,10.0.0.1,9.9.9.9,1728,2099,POST,200
2024-01-01 00:11:00,10.0.0.1,1.1.1.1,3292,5473,POST,403
2024-01-01 00:12:00,10.0.0.1,9.9.9.9,4686,4598,POST,403
2024-01-01 00:13:00,10.0.0.1,8.8.4.4,1109,3158,GET,200
2024-01-01 00:14:00,172.16.0.1,1.1.1.1,6718,7208,DELETE,403
2024-01-01 00:15:00,192.168.1.1,9.9.9.9,9964,7450,GET,200
2024-01-01 00:16:00,172.16.0.1,8.8.8.8,3207,3220,GET,503
2024-01-01 00:17:00,172.16.0.1,8.8.4.4,5965,9924,PUT,503
2024-01-01 00:18:00,172.16.0.1,9.9.9.9,9839,2305,POST,200
2024-01-01 00:19:00,10.0.0.1,8.8.8.8,2743,1204,DELETE,503
2024-01-01 00:20:00,192.168.1.2,9.9.9.9,3677,4549,PUT,503
2024-01-01 00:21:00,192.168.1.1,8.8.8.8,9605,6345,GET,503
2024-01-01 00:22:00,192.168.1.2,8.8.4.4,5500,6247,POST,404
2024-01-01 00:23:00,172.16.0.1,1.1.1.1,1713,9938,PUT,500
2024-01-01 00:24:00,172.16.0.1,8.8.8.8,9771,1698,POST,403
2024-01-01 00:25:00,192.168.1.2,9.9.9.9,5642,5589,PUT,404
2024-01-01 00:26:00,192.168.1.2,8.8.4.4,7442,9687,POST,503
2024-01-01 00:27:00,192.168.1.2,8.8.8.8,1356,4249,GET,200
2024-01-01 00:28:00,172.16.0.1,9.9.9.9,6826,8495,DELETE,503
2024-01-01 00:29:00,172.16.0.1,9.9.9.9,5914,2607,GET,500
2024-01-01 00:30:00,192.168.1.1,9.9.9.9,9524,5642,DELETE,503
2024-01-01 00:31:00,192.168.1.1,8.8.8.8,7576,148,POST,200
2024-01-01 00:32:00,172.16.0.1,8.8.8.8,8951,2250,PUT,500
2024-01-01 00:33:00,192.168.1.2,8.8.8.8,5625,3011,GET,503
2024-01-01 00:34:00,192.168.1.2,1.1.1.1,5580,5023,DELETE,500
2024-01-01 00:35:00,192.168.1.1,8.8.8.8,4463,4483,GET,403
2024-01-01 00:36:00,172.16.0.1,8.8.8.8,3798,2919,DELETE,403
2024-01-01 00:37:00,192.168.1.1,8.8.8.8,713,1006,GET,503
2024-01-01 00:38:00,192.168.1.1,1.1.1.1,2048,8402,DELETE,500
2024-01-01 00:39:00,10.0.0.1,8.8.8.8,8044,5749,DELETE,200
2024-01-01 00:40:00,10.0.0.1,9.9.9.9,1545,6994,POST,503
2024-01-01 00:41:00,10.0.0.1,8.8.8.8,3354,4543,DELETE,403
2024-01-01 00:42:00,192.168.1.2,9.9.9.9,3813,9542,POST,403
2024-01-01 00:43:00,172.16.0.1,9.9.9.9,5282,4961,DELETE,503
2024-01-01 00:44:00,172.16.0.1,9.9.9.9,1903,4037,PUT,500
2024-01-01 00:45:00,172.16.0.1,1.1.1.1,6635,9769,PUT,403
2024-01-01 00:46:00,172.16.0.1,1.1.1.1,1341,6065,PUT,500
2024-01-01 00:47:00,10.0.0.1,1.1.1.1,3631,1268,DELETE,403
2024-01-01 00:48:00,192.168.1.2,8.8.8.8,7604,4546,POST,403
2024-01-01 00:49:00,192.168.1.2,9.9.9.9,7330,4785,POST,404
2024-01-01 00:50:00,10.0.0.1,1.1.1.1,1686,4605,DELETE,403
2024-01-01 00:51:00,192.168.1.2,1.1.1.1,3746,9196,PUT,200
2024-01-01 00:52:00,10.0.0.1,8.8.8.8,748,8100,PUT,503
2024-01-01 00:53:00,172.16.0.1,1.1.1.1,4787,3496,POST,503
2024-01-01 00:54:00,10.0.0.1,8.8.8.8,904,1095,PUT,500
2024-01-01 00:55:00,172.16.0.1,8.8.4.4,8214,6943,GET,403
2024-01-01 00:56:00,172.16.0.1,1.1.1.1,5905,1743,POST,200
2024-01-01 00:57:00,192.168.1.1,8.8.4.4,7442,3486,PUT,500
2024-01-01 00:58:00,10.0.0.1,8.8.8.8,6578,8804,POST,404
2024-01-01 00:59:00,192.168.1.1,9.9.9.9,5299,5945,GET,500
2024-01-01 01:00:00,10.0.0.1,1.1.1.1,5222,3404,POST,500
2024-01-01 01:01:00,10.0.0.1,8.8.8.8,1757,275,POST,403
2024-01-01 01:02:00,192.168.1.1,9.9.9.9,5841,4943,POST,404
2024-01-01 01:03:00,192.168.1.1,9.9.9.9,9975,7072,POST,500
2024-01-01 01:04:00,10.0.0.1,8.8.4.4,5585,9201,GET,200
2024-01-01 01:05:00,192.168.1.2,8.8.8.8,4981,5650,DELETE,200
2024-01-01 01:06:00,172.16.0.1,9.9.9.9,3560,8046,POST,503
2024-01-01 01:07:00,192.168.1.1,1.1.1.1,252,9057,POST,404
2024-01-01 01:08:00,172.16.0.1,1.1.1.1,4268,7733,PUT,404
2024-01-01 01:09:00,192.168.1.2,8.8.4.4,9008,4692,POST,503
2024-01-01 01:10:00,192.168.1.2,9.9.9.9,4439,7729,PUT,500
2024-01-01 01:11:00,192.168.1.2,8.8.8.8,2377,8258,DELETE,404
2024-01-01 01:12:00,192.168.1.1,1.1.1.1,8054,7389,GET,200
2024-01-01 01:13:00,192.168.1.2,9.9.9.9,2981,9485,GET,200
2024-01-01 01:14:00,192.168.1.1,9.9.9.9,7827,2255,DELETE,403
2024-01-01 01:15:00,192.168.1.2,8.8.4.4,247,1119,GET,404
2024-01-01 01:16:00,172.16.0.1,1.1.1.1,7175,3494,DELETE,500
2024-01-01 01:17:00,172.16.0.1,1.1.1.1,1980,1110,DELETE,503
2024-01-01 01:18:00,10.0.0.1,8.8.8.8,6337,2377,DELETE,503
2024-01-01 01:19:00,172.16.0.1,1.1.1.1,8850,3470,GET,500
2024-01-01 01:20:00,10.0.0.1,8.8.8.8,9389,351,PUT,403
2024-01-01 01:21:00,172.16.0.1,1.1.1.1,4332,656,DELETE,503
2024-01-01 01:22:00,192.168.1.1,8.8.4.4,2561,3220,POST,404
2024-01-01 01:23:00,172.16.0.1,1.1.1.1,709,749,GET,403
2024-01-01 01:24:00,10.0.0.1,8.8.8.8,2861,5138,DELETE,404
2024-01-01 01:25:00,10.0.0.1,8.8.8.8,7148,9381,DELETE,200
2024-01-01 01:26:00,192.168.1.2,8.8.4.4,6596,240,POST,403
2024-01-01 01:27:00,192.168.1.1,1.1.1.1,9611,1030,PUT,503
2024-01-01 01:28:00,172.16.0.1,1.1.1.1,2036,3025,PUT,403
2024-01-01 01:29:00,192.168.1.2,8.8.4.4,8388,6152,PUT,403
2024-01-01 01:30:00,172.16.0.1,1.1.1.1,2961,1234,DELETE,403
2024-01-01 01:31:00,172.16.0.1,1.1.1.1,1784,3377,DELETE,403
2024-01-01 01:32:00,192.168.1.2,8.8.8.8,1893,3444,DELETE,404
2024-01-01 01:33:00,192.168.1.2,1.1.1.1,8730,8369,GET,200
2024-01-01 01:34:00,192.168.1.2,1.1.1.1,3026,1866,POST,500
2024-01-01 01:35:00,192.168.1.2,8.8.4.4,2009,5904,DELETE,403
2024-01-01 01:36:00,192.168.1.2,8.8.4.4,5809,6759,POST,503
2024-01-01 01:37:00,172.16.0.1,9.9.9.9,6744,619,POST,403
2024-01-01 01:38:00,192.168.1.2,8.8.8.8,2435,5492,PUT,503
2024-01-01 01:39:00,192.168.1.1,1.1.1.1,4786,1945,GET,404
